"WITMER FUNDING, LLC",Witmer
WELLS FARGO CREDIT RISK TRANSFER SECURITIES TRUST 2015,Wells Fargo
"WELLS FARGO BANK,  NA",Wells Fargo
"WELLS FARGO BANK, N.A.",Wells Fargo
"WELLS FARGO BANK, NA",Wells Fargo
USAA FEDERAL SAVINGS BANK,USAA
"UNITED SHORE FINANCIAL SERVICES, LLC D\/B\/A UNITED WHOLESALE MORTGAGE",United Seq(e
U.S. BANK N.A.,US Bank
SUNTRUST MORTGAGE INC.,Suntrust
STONEGATE MORTGAGE CORPORATION,Stonegate Mortgage
"STEARNS LENDING, LLC",Stearns Lending
"STEARNS LENDING, INC.",Stearns Lending
"SIERRA PACIFIC MORTGAGE COMPANY, INC.",Sierra Pacific Mortgage
REGIONS BANK,Regions
RBC MORTGAGE COMPANY,RBC
QUICKEN LOANS INC.,Quicken Loans
"PULTE MORTGAGE, L.L.C.",Pulte Mortgage
"PROVIDENT FUNDING ASSOCIATES, L.P.",Provident Funding
"PROSPECT MORTGAGE, LLC",Prospect Mortgage
"PRINCIPAL RESIDENTIAL MORTGAGE CAPITAL RESOURCES, LLC",Principal Residential
"PNC BANK, N.A.",PNC
PMT CREDIT RISK TRANSFER TRUST 2015-2,PennyMac
PHH MORTGAGE CORPORATION,PHH Mortgage
PENNYMAC CORP.,PennyMac
"PACIFIC UNION FINANCIAL, LLC",Other
OTHER,Other
"NYCB MORTGAGE COMPANY, LLC",NYCB
NEW YORK COMMUNITY BANK,NYCB
NETBANK FUNDING SERVICES,Netbank
"NATIONSTAR MORTGAGE, LLC",Nationstar Mortgage
"METLIFE BANK, NA",Metlife
"LOANDEPOT.COM, LLC",LoanDepot.com
"J.P. MORGAN MADISON AVENUE SECURITIES TRUST, SERIES 2015-1",JP Morgan Chase
"J.P. MORGAN MADISON AVENUE SECURITIES TRUST, SERIES 2014-1",JP Morgan Chase
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",JP Morgan Chase
"JPMORGAN CHASE BANK, NA",JP Morgan Chase
"JP MORGAN CHASE BANK, NA",JP Morgan Chase
"IRWIN MORTGAGE, CORPORATION",Irwin Mortgage
IMPAC MORTGAGE CORP.,Impac Mortgage
"HSBC BANK USA, NATIONAL ASSOCIATION",HSBC
"HOMEWARD RESIDENTIAL, INC.",Homeward Mortgage
HOMESTREET BANK,Other
"HOMEBRIDGE FINANCIAL SERVICES, INC.",HomeBridge
"HARWOOD STREET FUNDING I, LLC",Harwood Mortgage
GUILD MORTGAGE COMPANY,Guild Mortgage
"GMAC MORTGAGE, LLC (USAA FEDERAL SAVINGS BANK)",GMAC
"GMAC MORTGAGE, LLC",GMAC
GMAC (USAA),GMAC
FREMONT BANK,Fremont Bank
FREEDOM MORTGAGE CORP.,Freedom Mortgage
FRANKLIN AMERICAN MORTGAGE COMPANY,Franklin America
FLEET NATIONAL BANK,Fleet National
FLAGSTAR CAPITAL MARKETS CORPORATION,Flagstar Bank
"FLAGSTAR BANK, FSB",Flagstar Bank
FIRST TENNESSEE BANK NATIONAL ASSOCIATION,Other
FIFTH THIRD BANK,Fifth Third Bank
FEDERAL HOME LOAN BANK OF CHICAGO,Fedral Home of Chicago
"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",FDIC
"DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",Downey Mortgage
DITECH FINANCIAL LLC,Ditech
"CITIMORTGAGE, INC.",Citi
CHICAGO MORTGAGE SOLUTIONS DBA INTERFIRST MORTGAGE COMPANY,Chicago Mortgage
CHICAGO MORTGAGE SOLUTIONS DBA INTERBANK MORTGAGE COMPANY,Chicago Mortgage
"CHASE HOME FINANCE, LLC",JP Morgan Chase
CHASE HOME FINANCE FRANKLIN AMERICAN MORTGAGE COMPANY,JP Morgan Chase
CHASE HOME FINANCE (CIE 1),JP Morgan Chase
CHASE HOME FINANCE,JP Morgan Chase
"CASHCALL, INC.",CashCall
"CAPITAL ONE, NATIONAL ASSOCIATION",Capital One
"CALIBER HOME LOANS, INC.",Caliber Funding
BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,Bishops Gate Mortgage
"BANK OF AMERICA, N.A.",Bank of America
AMTRUST BANK,AmTrust
AMERISAVE MORTGAGE CORPORATION,Amerisave
"AMERIHOME MORTGAGE COMPANY, LLC",AmeriHome Mortgage
ALLY BANK,Ally Bank
ACADEMY MORTGAGE CORPORATION,Academy Mortgage
NO CASH-OUT REFINANCE,OTHER REFINANCE
REFINANCE - NOT SPECIFIED,OTHER REFINANCE
Other REFINANCE,OTHER REFINANCE
